id,v_title,ply_lst_title,tags,categ_id,v_pub_dt,vws,lks,dslks,cmnts,duration,ply_id
iVVPro2nRd8,قوموا الآن بترشيح مواهب من أصحاب الهمم,mbc hope,,1,2019-10-17T11:52:31.000Z,854,7,3,0,PT39S,PL4UpjxLgAyAUyrFYgtDgbhg_dZPFJyOaX
iVVPro2nRd8,قوموا الآن بترشيح مواهب من أصحاب الهمم,MBCMASR,,1,2019-10-17T11:52:31.000Z,854,7,3,0,PT39S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
LbPyi5fQeSw,الخطة المدروسة التي اعتمدها حماقي ضد أحلام #MBCTheVoice,MBCMASR,"نجوم,غناء,راغبعلامة,سميرهسعيد,SamiraSaid,أحلى صوت,مسلسلات,MBCTheVoiceKids,mbc,سميره,مواهب,ذافويس,Ahlam,صوت صغير حلم كبير,مواهبشابة,MBC The Voice Kids,فريق كاظم,نانسي عجرم,فريق تامر,فن,MBCTheVoice,أطفال,The Voice Kids,برنامجترفيهي,AssiElHallani,ShahidVOD,الموسم الثاني,Kadim Al Sahir,تامر حسني,Tamer Hosny,Kids,حماقي,TheVoice,#MBCTheVoiceKids,Talents,مشاهير,RaghebAlama,ترفية,MBC.net,Shahid.Net,Nancy Ajram,مسابقات,فريق نانسي,كاظم الساهر,احلىصوت,حلقات,Hamaki,راغب,احلام",24,2019-10-12T19:37:28.000Z,143290,1029,41,63,PT59S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
JXsRqc3Q_HU,بعد انقطاعها عن الغناء لسنوات.. رابعة عادت لتهز كراسي المدربين الأربعة,MBCMASR,"MBCTheVoiceKids,#MBCTheVoiceKids,MBC The Voice Kids,MBC.net,ShahidVOD,Shahid.Net,حلقات,مسلسلات,مشاهير,فن,نجوم,مسابقات,ترفية,The Voice Kids,صوت صغير حلم كبير,نانسي عجرم,كاظم الساهر,تامر حسني,الموسم الثاني,Nancy Ajram,Tamer Hosny,Kadim Al Sahir,أحلى صوت,أطفال,Kids,فريق تامر,فريق كاظم,فريق نانسي,غناء,غناء اطفال",24,2019-10-12T18:45:24.000Z,2625810,17296,852,1474,PT1M28S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
IVXMnto9CgM,عصام مرعي يكشف كواليس إصابه ميتشو بالسرطان,MBCMASR,,24,2019-12-05T11:53:39.000Z,1552,57,9,6,PT1M9S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
BrPsCjrk4JI,رضا عبد العال: استبدلت خطة أوعى تكلمني بخطة وسع وصلي على النبي,MBCMASR,,1,2019-12-04T22:10:28.000Z,9169,280,13,9,PT2M30S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
07R6cDbtoi4,طارق الشناوي: شعبان عبد الرحيم كان مشاركاً في احتفالات موسم الرياض قبل وفاته بأيام,MBCMASR,,1,2019-12-04T17:05:22.000Z,2546,22,4,5,PT1M13S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
ib7dwe2FCsY,#ممالك_النار | رسالة ووعيد,MBCMASR,,24,2019-12-04T10:15:59.000Z,1610,21,1,1,PT1M,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
GczqY_zsTtE,#ممالك_النار | مكة والمدينة,MBCMASR,,24,2019-12-04T10:00:38.000Z,924,8,1,0,PT1M26S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
mMMq3JHwhIA,هذا هو الحكم؟!#ممالك_النار |,MBCMASR,,24,2019-12-04T09:45:18.000Z,938,20,2,0,PT59S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
Kp1KpN8NM3A,#ممالك_النار | شروط طومان,MBCMASR,,24,2019-12-04T09:30:33.000Z,4786,124,11,12,PT2M6S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
XM7duyCm01A,خاص اللعيب : ميتشو ينتظر توقيع المخالصة على مستحقاته,MBCMASR,,1,2019-12-03T22:24:07.000Z,5530,93,9,2,PT54S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
N-cUbrQwl0A,ضيوف غير متوقعين بكل قصصهم اليومية.. ضيوف التاكسي مع (يحدث في مصر),MBCMASR,,1,2019-12-03T21:30:17.000Z,3364,64,2,1,PT17M30S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
2_x16fTyXSk,وزارة الري تُعلن عن اجتماع جديد لتقييم مفاوضات (سد النهضة) في واشنطن,MBCMASR,,1,2019-12-03T20:23:38.000Z,1036,22,7,5,PT1M30S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
sQ-F5U12AJ4,وصلنا للعرض النهائي الرابع ... انتظروا أقوى منافسة  في The Voice السبت 8:30 مساء على MBC Masr,MBCMASR,,24,2019-12-03T18:01:08.000Z,3672,34,7,6,PT46S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
e2-EimljAPE,جماهير الطرب الشعبي يودعون الفنان شعبان عبد الرحيم,MBCMASR,,1,2019-12-03T15:49:08.000Z,7868,112,9,24,PT1M10S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
OFlw4mIC0ec,#ممالك_النار | مقتل الغوري,MBCMASR,,24,2019-12-03T10:00:27.000Z,1747,19,0,3,PT58S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
mkUF4k0Qt3E,#ممالك_النار | سعير الحرب,MBCMASR,,24,2019-12-03T09:45:21.000Z,835,6,1,0,PT1M8S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
hAZg1259QHs,#ممالك_النار | بداية الخيانة,MBCMASR,,24,2019-12-03T09:30:33.000Z,973,4,0,2,PT1M,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
Q8Pr-gfOfE0,#ممالك_النار | مصير طومان,MBCMASR,,24,2019-12-03T09:22:29.000Z,1299,8,1,3,PT1M15S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
8qfK4uHb9NQ,ما هو حساب المنتحر؟ د. سعد الدين الهلالي يُجيب,MBCMASR,,24,2019-12-02T22:56:45.000Z,3723,55,17,11,PT6M29S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
BZljDRN1Afo,د. سعد الدين الهلالي: هذه المذاهب الفقهية تقول إن المنتحر غير كافر وتجوز الصلاة عليه,MBCMASR,,24,2019-12-02T22:56:07.000Z,886,11,1,6,PT3M36S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
lszwdUGdGqM,د. سعد الدين الهلالي يوضح رأي الفقهاء القدماء في حكم المنتحر والشخص الذي يتمنى الموت,MBCMASR,,24,2019-12-02T22:39:01.000Z,935,9,1,4,PT5M3S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
Tea5NVpAjzA,د. سعد الدين الهلالي: الانتحار ابتلاء ناتج عن هزيمة نفسية,MBCMASR,,24,2019-12-02T22:34:22.000Z,653,14,0,3,PT4M55S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
8D0lfEBtAWA,د. سعد الدين الهلالي: خطابنا الديني يجب أن يكون جزء من نسيج المجتمع,MBCMASR,,24,2019-12-02T22:24:20.000Z,275,1,1,3,PT3M5S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
